center_id,parish_id,center_name,center_type,capacity,is_active
30556,7,Chudleigh Community Centre,Community Centre,5357,1
30557,7,Top Hill Community Centre,Community Centre,824,0
30558,7,McIntosh Memorial Primary School,Government School,4082,0
30559,7,Bryce Primary School,Government School,4502,0
30560,7,Robins Hall Primary School,Government School,2421,0
30561,7,Rose Hill Primary School,Government School,8747,0
30562,7,Patrick Town Primary School,Government School,3665,1
30563,7,Garlogie Primary School,Government School,5559,0
30564,7,Victoria Town Primary School,Government School,3258,0
30565,7,Bellfield High School,Government School,1276,0
30566,7,Anna Miller Basic School,Government School,9546,0
30567,7,Zion Hill Primary School,Government School,8766,1
30568,3,Bogue Primary School,Government School,2375,0
30569,3,Quickstep A/A School,Government School,1504,0
30570,3,Goshen Community Centre,Community Centre,5867,1
30571,3,Roses Valley Primary School,Government School,5638,1
30572,3,Balaclava Primary & Infant School,Government School,7794,1
30573,3,Roger Clarke High (Balaclava High School),Government School,2419,1
30574,3,Knoxwood Basic School,Government School,1121,0
30575,3,Slipe Leased Primary & Infant School (P),Government School,9492,1
30576,3,Black River High School,Government School,3873,0
30577,3,Black River Primary & Infant School,Government School,462,0
30578,3,Crawford Primary & Infant School,Government School,6891,1
30579,3,Fullerswood Primary & Infant School,Government School,3438,0
30580,3,New Town Community Centre,Community Centre,357,0
30581,3,Mt. Osborn All Age School,Government School,8748,0
30582,3,Braes River Primary School,Government School,2854,1
30583,3,Braes River Community Centre,Community Centre,9237,0
30584,3,Braes River Basic School,Government School,3459,1
30585,3,Leeds Primary School,Government School,6676,1
30586,3,Pepper Primary & Infant School,Government School,3951,0
30587,3,Buena Vista Community Centre,Community Centre,6435,1
30588,3,Brompton Primary School,Government School,5908,1
30589,3,Brompton Basic School,Government School,3457,0
30590,3,Fyffes Pen Primary School,Government School,7785,0
30591,3,Middle Quarters All-Age School,Government School,7006,0
30592,3,Maggoty High School (P),Government School,5550,0
30593,3,Accompong Primary School,Government School,1681,0
30594,3,Elderslie Primary School,Government School,2207,1
30595,3,Glen Stuart Primary School,Government School,2463,0
30596,3,Merrywood Primary School,Government School,4034,1
30597,3,Mulgrave Primary School,Government School,1964,0
30598,3,Retirement Primary School,Government School,6005,1
30599,3,White Hill Primary School,Government School,5790,0
30600,3,Bull Savannah Primary & Infant (P),Government School,1632,1
30601,3,B.B. Coke High School,Government School,3248,0
30602,3,Carisbrook Primary School,Government School,3772,1
30603,3,Glen Bromptfield Comunity Center,Community Centre,620,0
30604,3,Holland Primary School,Government School,8850,0
30605,3,Lacovia Primary & Infant School,Government School,4346,1
30606,3,Newton Primary School,Government School,3384,1
30607,3,Bethlehem All-Age & Infant School,Government School,1221,0
30608,3,St. Alban´s All Age School,Government School,2580,0
30609,3,Epping Forest All Age School,Government School,7462,1
30610,3,10´s Primary School,Government School,6631,0
30611,3,Mountainside Primary School (P),Government School,4634,0
30612,3,Mountainside Basic School,Government School,3316,1
30613,3,Parottee Primary School,Government School,6553,0
30614,3,Barbary Hall Primary & Infant School,Government School,1097,1
30615,3,Pondside All Age School,Government School,9179,0
30616,3,Brinkley Primary School (P),Government School,9778,1
30617,3,Nain High School,Government School,3481,1
30618,3,Austin Primary School,Government School,9703,0
30619,3,Russells Primary School (P),Government School,538,1
30620,3,Lititz Primary & Infant School,Government School,6185,1
30621,3,Warminster Primary & Infant School,Government School,3363,1
30622,3,Red Bank Primary & Infant School,Government School,2716,0
30623,3,Morningside Primary School,Government School,3198,1
30624,3,Ginger Hill Primary School (P),Government School,5026,0
30625,3,Lewisville High School (P),Government School,2593,0
30626,3,Pisgah Primary School (P),Government School,7185,0
30627,3,Springfield Primary School (P),Government School,6915,0
30628,3,Nightingale Grove Primary School,Government School,3930,0
30629,3,Beersheba All Age School,Government School,8173,0
30630,3,Clapham Primary (Brighton) School,Government School,1525,0
30631,3,Giddy Hall Primary School,Government School,4081,0
30632,3,Happy Grove Primary & Infant School,Government School,1532,0
30633,3,Kilmarnock Primary School,Government School,946,0
30634,3,Geneva Primary School,Government School,1686,0
30635,3,Pedro Plains Primary & Infant School,Government School,3331,0
30636,3,Sandy Bank Primary School,Government School,6333,0
30637,3,Flagaman Community Centre,Community Centre,2034,0
30638,3,Hopewell Primary School,Government School,3876,1
30639,3,Newcombe Valley Primary School,Government School,7241,0
30640,3,Newell High School (P),Government School,7233,1
30641,3,Schoolfield Primary & Infant School,Government School,2577,1
30642,3,Burnt Savannah Primary School,Government School,4864,1
30643,3,Marie Cole Memorial A/A School,Government School,2378,0
30644,3,Park Mtn Primary School,Government School,4547,1
30645,3,STETHS,Government School,1717,1
30646,3,Santa Cruz Primary School,Government School,4730,1
30647,3,Aberdeen High School (P),Government School,9349,0
30648,3,Siloah Primary School (P),Government School,1325,1
30649,3,Thornton Primary & Infant School (P),Government School,2455,1
30650,3,Rose Hall Primary School,Government School,6564,0
30651,3,Ballards Valley Primary School,Government School,5419,1
30652,3,Mayfield Primary & Infant School,Government School,1606,1
30653,3,Seaview Primary & Infant School,Government School,5772,1
30654,3,Hopeton Primary School,Government School,9932,0
30655,5,William Knibb High School,Government School,673,1
30656,5,Perth Town Junior High School,Government School,7456,0
30657,5,Holland High School,Government School,5384,0
30658,5,Bounty Hall Primary School,Government School,4962,1
30659,5,Granville Primary School,Government School,8448,0
30660,5,Salt Marsh Primary School,Government School,6115,0
30661,5,Waldensia Primary and Infant School,Government School,7966,1
30662,5,Daniel Town Primary School,Government School,7185,0
30663,5,Hague Primary School,Government School,5448,1
30664,5,5 Multi-Purpose Stadium,Government Facility,135,1
30665,5,Stonebrook Vista Community Centre,Community Centre,1048,1
30666,5,Florence Hall Village Community Centre,Community Centre,7109,0
30667,5,Duncans All-Age School,Government School,2219,1
30668,5,Rio Bueno Primary School,Government School,9398,0
30669,5,Refuge Primary School,Government School,9259,0
30670,5,Carey Park Basic School,Government School,9141,1
30671,5,Wakefield Primary School,Government School,1668,1
30672,5,Hastings Primary School,Government School,6346,1
30673,5,Unity Primary School,Government School,5104,0
30674,5,Bunkers Hill Community Centre,Community Centre,7561,1
30675,5,Hampden Primary School,Government School,5539,1
30676,5,Dromilly Basic School,Government School,3307,1
30677,5,Cedric Titus High School,Government School,9302,1
30678,5,Clarks Town Primary School,Government School,7978,0
30679,5,Kinloss Primary School,Government School,9424,1
30680,5,Duanvale Primary School,Government School,8327,1
30681,5,Stewart Town Resource Centre,Community Centre,4810,1
30682,5,Sawyers Primary School,Government School,2833,1
30683,5,Brampton Primary School,Government School,8000,1
30684,5,First Hill All Age School,Government School,1902,1
30685,5,Lowe River Primary and Junior High,Government School,9092,1
30686,5,Wait-A-Bit Primary School,Government School,5814,0
30687,5,Wire Fence Basic School,Government School,9377,1
30688,5,Sanguinetti Basic School,Government School,5448,1
30689,5,Warsop Primary and Infant School,Government School,4367,0
30690,5,Troy High School,Government School,9000,1
30691,5,Troy Primary School,Government School,1803,1
30692,5,Spring Garden Primary & Infant School,Government School,1057,1
30693,5,Albert Town High School,Government School,9675,0
30694,5,Albert Town Primary School,Government School,5943,1
30695,5,Ulster Spring Primary School,Government School,1337,0
30696,5,Freemans Hall Primary School,Government School,2389,0
30697,1,Ashton All Age School,Government School,8455,0
30698,1,Barneyside All Age School,Government School,6857,0
30699,1,Beaufort Primary School,Government School,6833,0
30700,1,Belmont Academy,Government School,6378,1
30701,1,Bethel Town Primary School,Government School,8918,1
30702,1,Bethel Town Community Centre/ECI,Community Centre,3347,1
30703,1,Blauwearie Primary School,Government School,8970,0
30704,1,Broughton Primary School,Government School,5138,0
30705,1,Cairn Curran All Age School,Government School,3554,1
30706,1,Caledonia All Age School,Government School,7002,0
30707,1,Carmel Primary School,Government School,653,1
30708,1,Chantilly Primary School,Government School,9487,0
30709,1,Cokes View Primary School,Government School,8382,0
30710,1,Content Primary School,Government School,8515,0
30711,1,Cornwall Mountain All Age,Government School,238,0
30712,1,Dundee All-Age School,Government School,5916,0
30713,1,Darliston Primary School,Government School,9445,1
30714,1,Eldin Washington Basic School,Government School,6428,1
30715,1,Enfield Primary School,Government School,1915,0
30716,1,Ferris Primary School,Government School,764,1
30717,1,Friendship Primary School,Government School,1369,0
30718,1,Frome Technical High School,Government School,7644,1
30719,1,George's Plain Primary School,Government School,6984,1
30720,1,Godfrey Stewart High,Government School,7688,0
30721,1,Grange Hill Comprehensive High,Government School,7205,1
30722,1,Grange Hill Primary School,Government School,3663,0
30723,1,Holly Hill Primary School,Government School,5650,1
30724,1,Kentucky Primary & Jr High,Government School,3278,0
30725,1,Kew Park All Age & Infant School,Government School,8816,0
30726,1,King's Primary & Infant School,Government School,6766,0
30727,1,Little Bay All Age School,Government School,8823,1
30728,1,Little London High School,Government School,3964,1
30729,1,Little London Primary School,Government School,1562,0
30730,1,Manning's School,Government School,9295,0
30731,1,Maud McLeod Comprehensive High,Government School,955,0
30732,1,Mearnsville All Age,Government School,8603,1
30733,1,Moreland Hill Primary School,Government School,2331,0
30734,1,Mount Grace Primary & Junior High,Government School,8801,0
30735,1,Mount Hermon All Age,Government School,173,1
30736,1,Mount Hermon ECI,Government School,6688,0
30737,1,Mt. Airy Primary & Infant School,Government School,1090,1
30738,1,New Roads Primary School,Government School,2191,0
30739,1,New Works Primary & Infant School,Government School,9650,1
30740,1,Paul Island Primary & Basic School,Government School,9014,1
30741,1,Paul Island Community Centre,Community Centre,8412,0
30742,1,Peggy Barry Primary School,Government School,5768,1
30743,1,Petersfield High School,Government School,9561,0
30744,1,Petersfield Primary and Infant School,Government School,9730,1
30745,1,Petersville All Age School,Government School,9269,1
30746,1,Porters Mountain Primary,Government School,6411,1
30747,1,Retrieve All Age School,Government School,5483,0
30748,1,Revival Primary School,Government School,9616,1
30749,1,Salem Primary & Junior High School,Government School,910,1
30750,1,Savanna-La-Mar Primary School,Government School,1045,0
30751,1,Seaford Town All Age School,Government School,5959,1
30752,1,Sheffield All Age School,Government School,4276,0
30753,1,St Paul's Primary School,Government School,8911,0
30754,1,St. Leonards All Age School,Government School,4511,0
30755,1,Strawberry Primary & Junior High School,Government School,5717,0
30756,1,Town Head Primary School,Government School,492,0
30757,1,Unity Primary School,Government School,6973,0
30758,1,Sir Clifford Campbell Primary School,Government School,3282,0
30759,1,Savanna-La- Mar Methodist Church,Church,6391,0
30760,1,Williamsfield All Age School,Government School,2511,1
30761,4,Adelphi Primary,Government School,5554,1
30762,4,Albion Primary and Junior High,Government School,8036,1
30763,4,Barracks Road Primary,Government School,6737,0
30764,4,Barrett Town Primary,Government School,8118,1
30765,4,Cornwall College,Government School,5416,1
30766,4,4 High,Government School,2945,0
30767,4,Montego Bay High,Government School,5738,0
30768,4,Bickersteth Primary and Infant,Government School,5475,0
30769,4,Buckingham Primary School,Government School,8839,1
30770,4,Cambridge High School,Government School,618,1
30771,4,Cambridge Primary School,Government School,9829,0
30772,4,Catherine Hall Primary School,Government School,4174,0
30773,4,Chatsworth Primary School,Government School,8284,0
30774,4,Corinaldi Avenue Primary School,Government School,6936,1
30775,4,Orange Hill Primary School,Government School,554,0
30776,4,Mocho Basic School and Community Centre,Government School/Community Centre,943,0
30777,4,Mount Horeb Primary School,Government School,5763,0
30778,4,Mount Salem SDA Church,Church,9586,1
30779,4,Orange SDA Church,Church,6435,0
30780,4,Riverside Open Bible Church,Church,526,1
30781,4,Roehampton S. D. A,Church,7284,0
30782,4,Roehampton Apostolic Church,Church,9565,0
30783,4,Anchovy High School,Government School,3364,1
30784,4,John Rollins Success Primary School,Government School,870,1
30785,4,Triumphant Basic School,Government School,3942,0
30786,4,Euphemia Lawrence Basic School formerly Sterling Basic,Government School,4326,0
30787,4,Rose Heights Full Gospel,Church,9711,0
30788,4,Roehampton Primary School,Government School,6075,1
30789,4,Roman Catholic Church Hall,Government School,8536,1
30790,4,Buckingham Primary School,Government School,127,0
30791,4,Salters Hill Primary School,Government School,3823,0
30792,4,Somerton Primary and Infant,Government School,4802,1
30793,4,Sudbury Primary School,Government School,6819,0
30794,4,Sunderland Primary School,Government School,3108,0
30795,4,Catadupa Primary School,Government School,9570,0
30796,4,Glendevon Primary & Junior High School,Government School,703,1
30797,4,Goodwill Primary & Infant School,Government School,9585,0
30798,4,Granville Primary School,Government School,1471,1
30799,4,Harrison Memorial High School,Government School,3674,0
30800,4,Hampton S.D.A,Church,1183,1
30801,4,Howard Cooke Primary School,Government School,554,1
30802,4,Flamstead (Gardens) S.D.A.,Church,9856,1
30803,4,Flankers Primary High,Government School,8786,1
30804,4,Flower Hill S.D.A.,Government School,1250,1
30805,4,Garlands Primary & Junior High School,Government School,1970,1
30806,4,Lilliput SDA Church,Government School,7200,1
30807,4,Irwin Primary & Infant School,Government School,492,0
30808,4,Johns Hall Primary School,Government School,863,0
30809,4,Lottery Primary School,Government School,1864,0
30810,4,Maldon High School,Government School,6706,0
30811,4,Mount Zion Primary School,Government School,5448,0
30812,4,Bogue Hill Primary School,Government School,1222,0
30813,4,Tower Hill Primary School,Government School,6616,0
30814,4,Green Pond High School,Government School,5922,1
30815,4,Niagara Primary,Government School,163,0
30816,4,Dumfries Primary School,Government School,4585,1
30817,4,Norwood United Gospel Church Basic School,Government School/Church,9785,0
30818,2,Askenish All-Age School,Government School,6243,0
30819,2,Axe n' Adze Church of God Universal,Church,5446,1
30820,2,Axe n' Adze SDA Church,Church,6039,0
30821,2,Bamboo Missionary Church & Basic School,Church,4843,0
30822,2,Bethel Infant School,Government School,9467,1
30823,2,Bethel Primary and Junior High,Government School,626,0
30824,2,Blenheim SDA Church,Church,8753,0
30825,2,Brownsville All-Age School,Government School,8812,0
30826,2,Cacoon All-Age School,Government School,4565,0
30827,2,Cacoon Castle All-Age School,Government School,9268,1
30828,2,Cave Valley All-Age School,Government School,6706,0
30829,2,Cave Valley Salvation Army,Government School,3016,1
30830,2,Chambers Pen All Age,Government School,2973,1
30831,2,Chester Castle All-Age School,Government School,6370,1
30832,2,Chigwell Holiness Church,Church,6378,1
30833,2,Church Hill Primary School,Government School,5816,0
30834,2,Claremont All-Age School,Government School,5581,0
30835,2,Clifton Primary School,Government School,6524,1
30836,2,Copse Basic School,Government School,8458,0
30837,2,Copse SDA Church,Church,9703,1
30838,2,Cove Primary School,Government School,3357,1
30839,2,Esher Primary School,Government School,3251,0
30840,2,Merlene Ottey High School,Government School,8744,0
30841,2,Pondside Primary & Infant School,Government School,7219,0
30842,2,Green Island High School,Government School,2566,1
30843,2,Green Island Primary School,Government School,8761,1
30844,2,Green Island New Testament Church of God,Church,7907,1
30845,2,Gurneys Mount All-Age School,Government School,3921,0
30846,2,Haddington Basic School,Government School,9179,1
30847,2,Hanover Infirmary,Infirmary,2804,0
30848,2,Watford Hill All-Age,Government School,3406,1
30849,2,Jericho All-Age School,Government School,6480,0
30850,2,Kendal Primary School,Government School,9852,0
30851,2,Knockalva Technical High School,Government School,3025,1
30852,2,Logwood Community Centre,Community Centre,5926,0
30853,2,Lucea Primary School,Government School,9433,0
30854,2,Maryland All-Age School,Government School,2384,1
30855,2,Middlesex Corner Primary School,Government School,4151,1
30856,2,Miles Town Holiness Church,Church,2368,0
30857,2,Mt. Hannah All-Age School,Government School,7998,1
30858,2,Mt. Peto Primary School,Government School,4341,0
30859,2,Mt. Peto Community Centre,Community Centre,2092,0
30860,2,Mt. Ward Primary School,Government School,7937,1
30861,2,Orange Bay Community Centre,Community Centre,7761,1
30862,2,Pell River Primary School,Community Centre,9229,1
30863,2,Rejoin Community Centre,Community Centre,9363,0
30864,2,Richmond Basic School,Government School,6943,1
30865,2,Riverside All-Age School,Government School,2479,0
30866,2,Rock Spring/Upper Rock Spring Primary School,Government School,4447,0
30867,2,Ruseas High School,Government School,5779,1
30868,2,Salt Spring House of God Church & Basic School,Church,3680,1
30869,2,Sandy Bay Primary & Junior High School,Government School,482,0
30870,2,Sandy Bay Basic School,Government School,6839,0
30871,2,St. Simons Primary School,Government School,8075,1
30872,2,Success Primary School,Government School,6736,1
